Year,Month,Day,Hour,Min,GoesClass,Location,StartTime
2011,2,15,1,44,X2.2,S20W10,
2011,11,3,20,16,X1.9,N21E64,
2012,1,27,17,37,X1.7,N33W85,
2012,7,6,23,1,X1.1,S13W59,
2012,10,23,3,13,X1.8,S13E58,
2014,10,22,14,2,X1.6,S14E13,
2014,10,24,20,50,X3.1,S16W21,
2014,10,26,10,4,X2.0,S18W40,
2014,10,27,14,12,X2.0,S17W52,
2014,12,20,0,11,X1.8,S21W24,
2015,3,11,16,11,X2.1,S17E22,
2011,2,14,17,20,M2.2,S20W04,
2011,2,18,9,55,M6.6,S21W55,
2011,2,18,12,59,M1.4,S21W55,
2011,9,28,13,24,M1.2,N11E00,
2011,11,2,21,52,M4.3,N20E77,
2011,12,31,13,9,M2.4,S25E46,
2012,3,6,12,23,M2.1,N21E40,
2012,3,6,21,4,M1.3,N16E30,
2012,5,9,12,21,M4.7,N13E31,
2012,5,9,21,1,M4.1,N12E26,
2012,5,10,20,20,M1.7,N12E12,
2012,7,5,3,25,M4.7,S18W29,
2012,7,5,21,37,M1.6,S12W46,
2012,7,6,1,37,M2.9,S18W41,
2012,7,8,12,5,M1.4,S21W69,
2013,6,7,22,11,M5.9,S32W89,
2013,10,26,19,24,M3.1,S09E81,
2013,10,28,15,7,M4.4,S06E28,
2013,12,22,14,45,M3.3,S19W56,
2013,12,23,8,59,M1.6,S17W63,
2013,12,31,21,45,M6.4,S16W35,
2014,1,1,18,40,M9.9,S14W47,
2014,3,13,19,3,M1.2,N15W87,
2014,10,21,13,35,M1.2,S14E35,
2014,10,22,1,16,M8.7,S13E21,
2014,11,5,9,26,M7.9,N20E68,
2014,11,15,11,40,M3.2,S09E63,
2014,11,15,20,38,M3.7,S13E63,
2015,1,13,4,13,M5.6,N06W70,
2015,3,12,4,41,M3.2,S15E11,
2015,3,12,21,44,M2.7,S15E01,
2015,3,15,9,36,M1.0,S20W24,
2015,6,22,17,23,M6.5,N12W08,
2015,6,25,8,2,M7.9,N09W42,
2015,9,29,19,8,M1.1,S20W36,
2015,9,30,13,14,M1.1,S23W59,
2015,10,1,13,3,M4.5,S23W64,
2015,10,2,0,6,M5.5,S19W67,